Etapa,Termino,Notificacion,MacroEtapa
AUDIENCIA,ACTA DE RESGUARDO DE FECHA 28 DE FEBRERO DEL 2017,,08. Proceso de ejecución
AUDIENCIA,CERTIFICACION DE AUDIENCIAQ PREOIMINAR Y DE JUICIO,,08. Proceso de ejecución
AUDIENCIA,DESAHGOGA AUDIENCIA,,08. Proceso de ejecución
AUDIENCIA,RATIFICACION POR VIDEO LLAMADA.,,08. Proceso de ejecución
AUDIENCIA,RATIFICACION VIDEOLLAMADA,,08. Proceso de ejecución
AUDIENCIA,PLIEGO CALIFICADO,,08. Proceso de ejecución
AUDIENCIA,DIFIERE AUDIENCIA,,08. Proceso de ejecución
AUDIENCIA,INCOMPARECENCIA,,08. Proceso de ejecución
AUDIENCIA,PRUEBAS Y AELGATOS,,08. Proceso de ejecución
AUDIENCIA,UN PLIEGO DE POSICIONES,,08. Proceso de ejecución
AUDIENCIA,RATIFICACIÓN DE CONVENIO POR VIDEOLLAMADA,,08. Proceso de ejecución
BAJAS POR OTROS MOTIVOS,CADUCIDAD DE LA INSTANCIA,,
BAJAS POR OTROS MOTIVOS,DESECHAMIENTO,,
BAJAS POR OTROS MOTIVOS,OTROS MOTIVOS,,
BAJAS POR OTROS MOTIVOS,CADUCIDAD DE LA INSTANCIA,NOTIFICADA/TERMINADA,
BAJAS POR OTROS MOTIVOS,DESISTIMIENTO,,
BAJAS POR OTROS MOTIVOS,CONVENIO,,
BAJAS POR OTROS MOTIVOS,CONVENIO,NOTIFICADA/TERMINADA,
CONSTANCIAS DE ENTREGA,CONSTANCIA DE DEVOLUCION DE DOCUMENTOS,,
CONSTANCIAS DE ENTREGA,CONSTANCIAS DE DEVOLUCION DE DOCUMENTOS.,,
CONSTANCIAS DE ENTREGA,DEVOLUCION DE DOCUMENTOS,,
CONSTANCIAS DE ENTREGA,CONSTANCIAS DE DEVOLUCION DE DOCUMENTOS,,
CONSTANCIAS DE ENTREGA,CONSTANCIAS DE DEVOLUCIÓN DE DOCUMENTOS.,,
CONSTANCIAS DE ENTREGA,DEVOLUCION DE DOCUMENTOS*,,
CONSTANCIAS DE ENTREGA,CONSTANCIA DE DEVOLUCION  DE DOCUMENTOS,,
CONSTANCIAS DE ENTREGA,CONSTANCIA DE DEVOLUCIÓN DE DOCUMENTOS.,,
CONSTANCIAS DE ENTREGA,DEVOLUCIÓN DE DOCUMENTOS,,
CONTESTACIONES,PRODUCE REPLICA,,04. Emplazamiento sin sentencia
CONTESTACIONES,ADMITE CONTESTACION,,04. Emplazamiento sin sentencia
CONTESTACIONES,SENTIDO NEGATIVO/PROVEEN PRUEBAS,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
CONTESTACIONES,SE RESERVA,,04. Emplazamiento sin sentencia
CONTESTACIONES,SENTIDO NEGATIVO/PROVEEN PRUEBAS,,04. Emplazamiento sin sentencia
CONTESTACIONES,PRODUCE DUPLICA,,04. Emplazamiento sin sentencia
CONTESTACIONES,ADMITE CONTESTACIÓN- INDICENTE (EXCEPCIÓN),,04. Emplazamiento sin sentencia
CONTESTACIONES,ADMITE CONTESTACIÓN / ADMITE INCIDENTE,,04. Emplazamiento sin sentencia
CONTESTACIONES,PRODUCE REPLICA / DESISTIMIENTO,,04. Emplazamiento sin sentencia
CONTESTACIONES,SENTIDO NEGATIVO/PROVEEN PRUEBAS,NO NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
CONTESTACIONES,SENTIDO NEGATIVO/CALIFICA PRUEBAS,,04. Emplazamiento sin sentencia
CONTESTACIONES,PRODUCE REPLICA RECONVENCIONAL,,04. Emplazamiento sin sentencia
CONTESTACIONES,SE DA POR NOTTIFICADA / ADMITE CONTESTACION RECONVENCIONAL,,04. Emplazamiento sin sentencia
CONTESTACIONES,RESERVA CONTESTACION RECONVENCIONAL,,04. Emplazamiento sin sentencia
CONTESTACIONES,ADMITE CONTESTACIÓN / ADMITE RECONVENCIÓN,,04. Emplazamiento sin sentencia
DEMANDA,DEMANDA INICIAL,,03. Demanda sin emplazamiento
DEMANDA INICIAL,DEMANDA INICIAL,,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 21,937. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,DEMANDA ELECTRÓNICA,,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 51,306. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 32,661. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, JUEGO DE COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 14,932. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"COPIA CERTIFICADA DE PODER 32,661, COPIA CERTIFICADA ESCRITURA PUBLICA 16,125, CERTIFICACION ADEUDO, REQUERIMIENTO DE ADEUDO, UN TRASLADO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 51,915. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CONSTANCIA, DOS REQUERIMIENTO, COPIA CERTIFICADA ESCRITURA 51,683, 57,946,853, UN TRASLADO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"PODER CERTIFICADO 57,946, ESCRITURA PUBLICA CERTIFICADA 63,744, CONSTANCIA, REQUERIMIENTO, TRASLADO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"DEMANDA INICIAL; REQUERIMIENTO DE PAGO Y CONSTANCIA DE SALDO; ESCRITURA PÚBLICA NÚMERO 38,825 Y PODER 32,661",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 53,824. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 55,334. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 32,661. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, JUEGO DE COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"PODER 32,661, ESCRITURA PUBLICA 57,524, CERTIFICADO ADEUDO, REQUERIMIENTO ADEUDO, UN TRASLADO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 34,214. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 32,661. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, JUEGO DE COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,DEMANDA,,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 61,208. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 32,661. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, JUEGO DE COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"DEMANDA INICIAL, CONSTANCIA DE SALDO Y REQUERIMIENTO DE PAGO, ESCRITURA PÚBLICA NÚMERO 10,126 Y PODER 32,661",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 89,013. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"DEMANDA INICIAL, CONSTANCIA DE SALDO Y REQUERIMIENTO DE PAGO, ESCRITURA PUBLICA NUMERO 11,589 Y PODER NÚMERO 32,661",,03. Demanda sin emplazamiento
DEMANDA INICIAL,DEMANDA IINICIAL,,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 6,152. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 109,487. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,SOBRE,,03. Demanda sin emplazamiento
DEMANDA INICIAL,ANEXOS,,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 13,779. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 104,171. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,DEMANDA Y DOCUMENTOS,,03. Demanda sin emplazamiento
DEMANDA INICIAL,ESCRITO INICIAL,,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CONSTANCIA, REQUERIMIENTO, COPIA CERTIFICADA ESCRITURA 45,314, 57,946,DOS TRASLADOS",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 53,307. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 32,661. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, DOS JUEGOS DE COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 52,151. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 32,661. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, DOS JUEGOS DE COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"COPIA CERTIFICADA PODER 32,661, COPIA CERTIFICADA ESCRITURA PUBLICA 23,312, CERTIFICACION ADEUDO, REQUERIMITNO DE ADEUDO, DOS TRASLADOS",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"ESCRITURA 32,661, ESCRITURA 86, CERTIFICACION Y REQUERIMIENTO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 68,774. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 32,661. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, DOS JUEGOS DE COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 91,334. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. DOS COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"PODER 32,661, ESCRITURA 6,801, CERTIFICACION Y REQUERIMIENTO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 35,883. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"ESCRITURA PUBLICA 32,661, 45,314, CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, DOS TRASLADOS",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"ESCRITURA 32,661, ESCRITURA 57,269,  CERTIFICADO Y REQUERIMIENTO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"DEMANDA INICIAL, CONSTANCIA DE SALDO Y REQUERIMIENTO DE PAGO, ESCRITURA PÚBLICA NÚMERO 90,963 Y PODER NUMERO 32,661",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"ESCRITURA PUBLICA CERTIFICADA 28,033, PODER CERTIFICADO 57,946, CONSTANCIA, REQUERIMIENTO, TRASLADO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 17,266. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 3,790. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 32,661. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, JUEGO DE COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CONSTANCIA, REQUERIMIENTO, COPIA CERTIFICADA ESCRITURA 29,628, 57,946,853, TRASLADO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 3,965. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 21,499. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDOS, REQUERIMIENTO EXTRAJUDICIAL, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 98,185. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 4,320. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 78,056. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 32,661. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, JUEGO DE COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 5,115. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 16,286. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 32,661. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, JUEGO DE COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 40,988. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 21,276. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 15,070. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 941. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"PODER 32,661, ESCRITURA 14,138. CERTIFICACION DE ADEUDO Y REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"PODER 32,661, ESCRITURA PUBLICA 18,965, CERTIFICADO ADEUDO, REQUERIMIENTO ADEUDO, UN TRASLADO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"PODER CERTIFICADO 57,946, ESCRITURA PUBLICA CERTIFICADA 20,894, CONSTANCIA, REQUERIMIENTO, TRASLADO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 21,149. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 9,332. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 25,605. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 20,278. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 32,661. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO, JUEGO DE COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CONSTANCIA, REQUERIMIENTO, COPIA CERTIFICADA ESCRITURA PUBLICA 46,742, 57,946, TRASLADO",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 25,546. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 6,043. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. DOS COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 31,199. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO. COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 2,893. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 55,383. COPIA DE TRASLADO.",,03. Demanda sin emplazamiento
DEMANDA INICIAL,"CERTIFICACION DE ADEUDO, COPIA CERTIFICADA DE ESCRITURA PUBLICA NUMERO 42,798. COPIA CERTIFICADA DE PODER EN ESCRITURA PUBLICA NUMERO 32,661. REQUERIMIENTO EXTRAJUDICIAL DE ADEUDO,DOS JUEGOS DE COPIAS DE TRASLADO.",,03. Demanda sin emplazamiento
DILIGENCIA,DOCUMENTOS DE NOTIFICACION,,
DILIGENCIA,ACUSE DE RECIBO DE OFICIO,,
DILIGENCIA,DILIGENCIA ACTUARIAL,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 6012915,,
DILIGENCIA,INSTRUCTIVO Y ACTA,,
DILIGENCIA,DILIGENCIA,,
DILIGENCIA,DOCUMETOS DE NOTIFICACION,,
DILIGENCIA,DILI,,
DILIGENCIA,COLETA,,
DILIGENCIA,INST ACTA,,
DILIGENCIA,NOTIFICACION,,
DILIGENCIA,DILIGENCIA ACTUARIAL.,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 5003612,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 5003611,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4980483,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4915257,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4915256,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4915259,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4915258,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4832684,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4832683,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4811420,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4775668,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4475991,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4475990,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4220651,,
DILIGENCIA,DILIGENCIA ACTUARIAL - SOLICITUD: 4220650,,
DILIGENCIA,DILIGENCIA DE EMPLAZAMIENTO,,
DILIGENCIA,DILIGENCIA  ACTUARIAL,,
EJECUCIÓN DE SENTENCIA,SANCIONA CONVENIO,,08. Proceso de ejecución
EJECUCIÓN DE SENTENCIA,SE APERSONA,,08. Proceso de ejecución
EJECUCIÓN DE SENTENCIA,DESECHA,,08. Proceso de ejecución
EJECUCIÓN DE SENTENCIA,ALLEGA CERTIFICADO,,08. Proceso de ejecución
EJECUCIÓN DE SENTENCIA,AUTORIZA ABOGADOS,,08. Proceso de ejecución
EJECUCIÓN DE SENTENCIA,SE APERSONA. ORDENA OFICIO.,SOLICITADA,08. Proceso de ejecución
EJECUCIÓN DE SENTENCIA,ORDENA OFICIO,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCIÓN DE SENTENCIA,INICIA EJECUCION DE SENTENCIA,NOTIFICADA/TERMINADA,08. Proceso de ejecución
